geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol
ENSG00000000003,136.49922253509746,-0.1786204803057431,0.09529845196849052,-1.8743271964669705,0.06088534122897519,,TSPAN6
ENSG00000000419,213.68795130900213,0.0629866394955539,0.11886161522537102,0.5299157291117595,0.5961703600881071,0.8233775084327968,DPM1
ENSG00000000457,24.902784709309408,-0.09463305184945223,0.2309545790851825,-0.40974745867475926,0.6819912121880529,,SCYL3
ENSG00000000460,68.48020490044672,0.04594049656642371,0.13295591178134025,0.3455318078821317,0.7296946018176409,,C1orf112
ENSG00000001036,243.71081227829524,-0.04953069114563999,0.07484687514166868,-0.6617603079873312,0.5081248476469578,0.7657160239937414,FUCA2
ENSG00000001084,49.0557535049386,0.12671834075758542,0.16058427491345606,0.7891080295743648,0.43004886930628405,,GCLC
ENSG00000001167,72.45949894715554,0.0551163525656491,0.12883936677650337,0.42779124071029473,0.6688031147128295,,NFYA
ENSG00000001460,20.142930934634197,-0.19348142369575125,0.28013436267982067,-0.6906736533314575,0.4897706499562323,,STPG1
ENSG00000001461,128.408252050014,0.26417862567136124,0.09689313077136714,2.7264948873901864,0.00640109442572122,,NIPAL3
ENSG00000001497,192.0434930620513,0.11804008877413215,0.0807232214180983,1.4622816916925883,0.1436640334570725,0.4114617363759011,LAS1L
ENSG00000001561,33.4458674846539,-0.29817771754879885,0.174245113729644,-1.711254400002555,0.08703416023814074,,ENPP4
ENSG00000001629,28.409197595515995,-0.1344399655814206,0.2084857115791758,-0.6448401886302163,0.5190307551037797,,ANKIB1
ENSG00000002016,10.344615166136524,0.1798774007719509,0.3498488029442357,0.5141575425102213,0.6071418492130183,,RAD52
ENSG00000002330,84.02878240195109,0.1471487204301854,0.12776645599588465,1.1517007283580367,0.24944407287659487,,BAD
ENSG00000002549,432.5771085855271,-0.10209823152332947,0.0562560536451998,-1.8148843530200467,0.06954168360463411,0.2709727671490915,LAP3
ENSG00000002834,251.76604653701642,-0.11579136913299608,0.06960978949051505,-1.6634351286003197,0.09622536622889083,0.32458108608551234,LASP1
ENSG00000002919,117.07080413657285,0.19528725603208333,0.1013557780814821,1.9267501047161584,0.05401078032917391,,SNX11
ENSG00000003056,371.6929907213162,-0.019128279558082287,0.06377048429741249,-0.29995506179429193,0.7642114336213528,0.9099424325033779,M6PR
ENSG00000003249,49.35932997291348,0.1543873506896428,0.17468476530251503,0.8838054676507042,0.3768012343364816,,DBNDD1
ENSG00000003393,68.67031895842331,0.049994692370669155,0.13900453778174804,0.35966230432826707,0.7190996848963942,,ALS2
ENSG00000003402,81.60097182232047,0.08663675646377479,0.12049645207317797,0.7189984018048925,0.4721419044044576,,CFLAR
ENSG00000003436,107.26286602102013,-0.10737539859585368,0.10605828183848584,-1.0124188015733997,0.3113378524073256,,TFPI
ENSG00000003509,45.99144619537904,-0.27202756834490716,0.17615641879896424,-1.5442387521249188,0.12253050409380613,,NDUFAF7
ENSG00000003756,65.35982655180199,0.24819647239540435,0.12345949375009266,2.0103474010496503,0.04439443330334632,,RBM5
ENSG00000004059,91.2969884283229,0.07134828896663858,0.10713505100989318,0.6659658841255424,0.5054329068300714,,ARF5
ENSG00000004139,51.74462203630053,-0.2908835185309588,0.16261101563849598,-1.7888303408523576,0.07364214299478176,,SARM1
ENSG00000004142,438.01546861924135,0.03371731005171642,0.05637084355503934,0.5981338565351701,0.5497506211387344,0.7958549087411241,POLDIP2
ENSG00000004399,23.229989137167955,0.11280859149359133,0.22175787308106987,0.5087016299635547,0.610961379724119,,PLXND1
ENSG00000004455,412.98558911768714,0.10553182961667307,0.05471391165415057,1.928793362166192,0.05375652022015322,0.23081689841415381,AK2
ENSG00000004478,424.08040257844647,0.07451758040728726,0.048371889906807165,1.5405141405649465,0.12343507865900598,0.37697740239101823,FKBP4
ENSG00000004487,271.1693476651104,0.051604751232428345,0.06854707678405476,0.7528366438586408,0.4515480837957847,0.7208384300415573,KDM1A
ENSG00000004534,44.25191226118825,0.16897756772103775,0.16791013377572822,1.0063571740508244,0.31424378669824016,,RBM6
ENSG00000004700,269.33984053228784,-0.05040312456843234,0.08011906434408414,-0.6291027607607604,0.5292817831840535,0.7794991190731972,RECQL
ENSG00000004766,56.32394095451256,-0.047416001711935364,0.1558320425219099,-0.30427632818371547,0.7609173780610587,,VPS50
ENSG00000004779,187.86714338065372,0.02955475989764999,0.09305181937766527,0.3176161422239086,0.7507761280132176,0.9081214860963654,NDUFAB1
ENSG00000004864,65.47200609960375,-0.38170630831714847,0.14196772318247294,-2.6886837357146063,0.007173434641277315,,SLC25A13
ENSG00000004866,86.13477419309051,-0.05652583281863091,0.10874111093765597,-0.5198202623756402,0.6031888553804388,,ST7
ENSG00000004897,241.4631770028431,-0.06214700627973695,0.08732453295797872,-0.7116786563249368,0.47666378744310844,0.7395164261136415,CDC27
ENSG00000004961,146.79836393472874,-0.16574785902567768,0.09718857652811755,-1.70542531794079,0.0881151297813892,0.308490427959953,HCCS
ENSG00000004975,107.70962361190314,0.14645040746240554,0.09828537400671922,1.490052909117419,0.13621032472462075,,DVL2
ENSG00000005007,141.2264393310358,-0.23150012553651747,0.08594154708309239,-2.6936927876419547,0.007066526498855329,0.07475482926023126,UPF1
ENSG00000005022,954.9636321538517,-0.04589175303527365,0.03966335957020967,-1.1570314146999792,0.2472595257834359,0.5461618461994209,SLC25A5
ENSG00000005059,62.743972539728354,-0.05484879989851215,0.15025410664553193,-0.3650402715974165,0.7150813450479953,,MCUB
