geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol
ENSG00000000003,136.49922253509746,0.15739896714528426,0.08829526307452458,1.7826433906475085,0.07464437180462966,,TSPAN6
ENSG00000000419,213.68795130900213,-0.05798035934094515,0.1163726059426229,-0.49823030833847753,0.6183217224105392,0.8621087250610935,DPM1
ENSG00000000457,24.902784709309408,0.1406273462987636,0.22336614432060783,0.62958218993526,0.5289679791039804,,SCYL3
ENSG00000000460,68.48020490044672,0.014359854832315678,0.12543064633080114,0.11448442029425648,0.9088537959980573,,C1orf112
ENSG00000001036,243.71081227829524,0.14620125967415273,0.07091348233407942,2.0616849555545196,0.03923773980877944,0.2533636913366901,FUCA2
ENSG00000001084,49.0557535049386,0.2699069012505787,0.1511696089275618,1.7854574286814096,0.07418715065539937,,GCLC
ENSG00000001167,72.45949894715554,0.032151626638342916,0.12018685569473934,0.26751366821679995,0.7890736918168608,,NFYA
ENSG00000001460,20.142930934634197,-0.1739112260447781,0.269442995859607,-0.6454471955745117,0.5186374271790491,,STPG1
ENSG00000001461,128.408252050014,-0.10120561328492501,0.08894538564199404,-1.13783995149876,0.25518731918779713,,NIPAL3
ENSG00000001497,192.0434930620513,-0.14660293919907538,0.07775507908711976,-1.8854451814628836,0.059369758926078625,0.31874296598882457,LAS1L
ENSG00000001561,33.4458674846539,-0.2214448719909418,0.16282883060303208,-1.3599856436407902,0.17383446700237404,,ENPP4
ENSG00000001629,28.409197595515995,-0.20595008924574973,0.1991651039297564,-1.0340671391831087,0.30110477717607476,,ANKIB1
ENSG00000002016,10.344615166136524,0.08193811363665734,0.3151588874181958,0.2599898556182256,0.7948715986454806,,RAD52
ENSG00000002330,84.02878240195109,-0.04439612741109996,0.12055596271243546,-0.3682615642745015,0.7126782090342108,,BAD
ENSG00000002549,432.5771085855271,0.007632652224703587,0.0542821711974952,0.14061066564440938,0.8881775219905657,0.9622571492011245,LAP3
ENSG00000002834,251.76604653701642,-0.02817519539044092,0.06673781855688722,-0.4221773501095848,0.6728955725861361,0.8792985346622071,LASP1
ENSG00000002919,117.07080413657285,0.017706021356726515,0.0948357786777144,0.18670191359843052,0.8518943556491243,,SNX11
ENSG00000003056,371.6929907213162,-0.013402438094048324,0.061656583089198184,-0.21737237813939678,0.827918155611858,0.944731718301279,M6PR
ENSG00000003249,49.35932997291348,-0.15797141436946743,0.16903672948241963,-0.9345389895626026,0.3500259335810658,,DBNDD1
ENSG00000003393,68.67031895842331,-0.14829168821613606,0.13346145667665785,-1.1111199585915503,0.2665167180015485,,ALS2
ENSG00000003402,81.60097182232047,-0.14811898103956883,0.1143604768182065,-1.2951938043685025,0.19525338158211825,,CFLAR
ENSG00000003436,107.26286602102013,0.0346616291901193,0.09850287622479648,0.35188443747588566,0.724924930819659,,TFPI
ENSG00000003509,45.99144619537904,0.18140262546884312,0.16828284922191636,1.0779626462684,0.2810504262822281,,NDUFAF7
ENSG00000003756,65.35982655180199,0.06843087209890317,0.11625894722963412,0.5886073608058641,0.5561246949650684,,RBM5
ENSG00000004059,91.2969884283229,-0.022272931691102015,0.10224296908063447,-0.21784316213994476,0.8275513135306514,,ARF5
ENSG00000004139,51.74462203630053,-0.13693155203423388,0.15719220402044307,-0.8711090533244622,0.38369461134732397,,SARM1
ENSG00000004142,438.01546861924135,-0.08419925891182574,0.05423302010170013,-1.5525460089431053,0.12053163287223033,0.43143422939054843,POLDIP2
ENSG00000004399,23.229989137167955,0.2894553535912319,0.21192666028666107,1.3658279387770382,0.17199297497301735,,PLXND1
ENSG00000004455,412.98558911768714,-0.046718907480285725,0.05195622622207219,-0.8991974759790863,0.36854748452784014,0.7185953306166357,AK2
ENSG00000004478,424.08040257844647,-0.08539285222170337,0.046055797362274206,-1.854117334024303,0.06372237531222631,0.32797893380164517,FKBP4
ENSG00000004487,271.1693476651104,-0.01973301225014608,0.06508962999792563,-0.3031667602162581,0.7617627791807797,0.9223017886953535,KDM1A
ENSG00000004534,44.25191226118825,0.29477088359805165,0.15446052879426286,1.9083897090024746,0.05634086594680744,,RBM6
ENSG00000004700,269.33984053228784,-0.005418950411951662,0.07556513649464468,-0.07171230892086992,0.9428308602827995,0.9762361520736711,RECQL
ENSG00000004766,56.32394095451256,-0.26706596824388146,0.14693896656159805,-1.8175299207098012,0.06913601114494927,,VPS50
ENSG00000004779,187.86714338065372,-0.14814027828582277,0.08836613826340557,-1.6764371647003504,0.09365259440656112,0.38104803550689187,NDUFAB1
ENSG00000004864,65.47200609960375,0.1602988107318427,0.1341392569342928,1.1950178821280037,0.23208004356342793,,SLC25A13
ENSG00000004866,86.13477419309051,-0.06516828654180383,0.09967766198812515,-0.6537902800084485,0.5132469295618749,,ST7
ENSG00000004897,241.4631770028431,-0.007745046531348767,0.08455836337648481,-0.0915940921995496,0.9270205454614229,0.9731412557733685,CDC27
ENSG00000004961,146.79836393472874,-0.10875556193275748,0.09297044478746462,-1.16978640019824,0.24208693792895797,0.6036390448258672,HCCS
ENSG00000004975,107.70962361190314,0.009299204945557075,0.0920689904341125,0.10100257319767053,0.9195484175080503,,DVL2
ENSG00000005007,141.2264393310358,-0.052532298160246786,0.08253696812967672,-0.6364699279686583,0.5244701754479615,0.816078023247301,UPF1
ENSG00000005022,954.9636321538517,-0.04457007533807563,0.038008776363940476,-1.1726258933281515,0.2409458610878844,0.6020014177532468,SLC25A5
ENSG00000005059,62.743972539728354,-0.15343110348082833,0.1431415278644419,-1.0718839303303431,0.28377216885821266,,MCUB
