geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol
ENSG00000000003,136.49922253509746,0.047516864727892925,0.0897254375224486,0.5295807525709147,0.5964026421800754,,TSPAN6
ENSG00000000419,213.68795130900213,0.03984201567414099,0.11630560133821977,0.3425631716419173,0.7319271121345539,0.9249268425938895,DPM1
ENSG00000000457,24.902784709309408,-0.016537068247887334,0.2274911963554946,-0.07269322291507617,0.9420502416128161,,SCYL3
ENSG00000000460,68.48020490044672,-0.08296775276442878,0.12740867038137058,-0.6511939298642908,0.514921308277859,,C1orf112
ENSG00000001036,243.71081227829524,0.12374454712408609,0.0714516088823685,1.7318650910689497,0.08329758548201815,0.42142930959970204,FUCA2
ENSG00000001084,49.0557535049386,0.3117244432296929,0.1516711893964642,2.0552647109191846,0.039853443845978935,,GCLC
ENSG00000001167,72.45949894715554,0.1539467617751518,0.11984823182043483,1.2845142513725676,0.19896208032970852,,NFYA
ENSG00000001460,20.142930934634197,-0.038904593437015016,0.2685742167670312,-0.144856024920523,0.8848245471661692,,STPG1
ENSG00000001461,128.408252050014,-0.08089284075840097,0.08945149934943315,-0.9043206804438386,0.36582538398474884,,NIPAL3
ENSG00000001497,192.0434930620513,-0.07934877347981066,0.07788005847845475,-1.0188586787176364,0.30827006330658036,0.7216313332931122,LAS1L
ENSG00000001561,33.4458674846539,-0.017908699144155053,0.16088946701634174,-0.11131057536747291,0.9113700695907015,,ENPP4
ENSG00000001629,28.409197595515995,0.04845461494817428,0.1964330248003077,0.24667244724980877,0.8051617316461863,,ANKIB1
ENSG00000002016,10.344615166136524,0.2528912470525467,0.3131250855271473,0.8076364965355723,0.41929987035523164,,RAD52
ENSG00000002330,84.02878240195109,-0.1264890153256787,0.12207116443052046,-1.0361907819571323,0.30011314637565556,,BAD
ENSG00000002549,432.5771085855271,-0.001688626405967896,0.05465564414984593,-0.030895736977105157,0.9753526897012652,0.9931336332495586,LAP3
ENSG00000002834,251.76604653701642,0.025789751533779423,0.06691750032051492,0.3853962178840241,0.6999438842761047,0.9088671697113094,LASP1
ENSG00000002919,117.07080413657285,-0.04020496985387239,0.09599731060361762,-0.4188135021811464,0.6753524362252173,,SNX11
ENSG00000003056,371.6929907213162,0.07175631491352955,0.06165414023131343,1.163852332451882,0.24448385989321286,0.6603633562250274,M6PR
ENSG00000003249,49.35932997291348,-0.14438564773804524,0.16984003580362303,-0.8501272803839411,0.3952543260272865,,DBNDD1
ENSG00000003393,68.67031895842331,-0.02239837929560929,0.1330618013476925,-0.16833064838106307,0.8663231639405112,,ALS2
ENSG00000003402,81.60097182232047,-0.14485981122244382,0.11520095064281981,-1.257453262443825,0.20858955288493997,,CFLAR
ENSG00000003436,107.26286602102013,-0.0003149232941683487,0.09950063869692818,-0.0031650379162648638,0.9974746693284926,,TFPI
ENSG00000003509,45.99144619537904,0.09272707834580016,0.17025483295646016,0.54463698172676,0.5860032146214,,NDUFAF7
ENSG00000003756,65.35982655180199,-0.006948654766430098,0.11818422028785902,-0.05879511452125667,0.9531152997781249,,RBM5
ENSG00000004059,91.2969884283229,-0.0459442074120348,0.1033496555586324,-0.4445511420787436,0.656644162257338,,ARF5
ENSG00000004139,51.74462203630053,-0.1503045193110446,0.15836661652931466,-0.9490921925658636,0.3425737249161279,,SARM1
ENSG00000004142,438.01546861924135,-0.0861788821917307,0.05458095054603632,-1.5789186763803809,0.11435471157770577,0.4819042080839318,POLDIP2
ENSG00000004399,23.229989137167955,0.3082222894626417,0.21313804666162087,1.446115765300116,0.14814473456793792,,PLXND1
ENSG00000004455,412.98558911768714,-0.01169302710522594,0.05217633784483437,-0.2241059374461941,0.8226748725644393,0.9573818692416574,AK2
ENSG00000004478,424.08040257844647,0.0530987843531167,0.045828700750162814,1.1586360399476971,0.24660457196194308,0.6605239220371659,FKBP4
ENSG00000004487,271.1693476651104,0.004247239648879412,0.06541072435127651,0.064931854692059,0.9482282577256712,0.9913861560636037,KDM1A
ENSG00000004534,44.25191226118825,0.10914100390105679,0.157710774581839,0.6920326413362553,0.4889168306316882,,RBM6
ENSG00000004700,269.33984053228784,0.027625704464628618,0.07577953019312718,0.3645536518136679,0.7154446175743154,0.9178805946100279,RECQL
ENSG00000004766,56.32394095451256,0.042296240465762754,0.14456084002835784,0.2925843572676092,0.7698398718809332,,VPS50
ENSG00000004779,187.86714338065372,-0.17653234023963935,0.08899605113771436,-1.9835974516045605,0.047300733534113036,0.312603740810319,NDUFAB1
ENSG00000004864,65.47200609960375,0.07186822199518283,0.13590407289232123,0.5288158071033315,0.5969332312102928,,SLC25A13
ENSG00000004866,86.13477419309051,0.04532667872502318,0.09947230833728694,0.4556713268514006,0.6486263437200845,,ST7
ENSG00000004897,241.4631770028431,0.05823793030013463,0.08463278532307177,0.6881249397360715,0.49137410638913903,0.8420254602677596,CDC27
ENSG00000004961,146.79836393472874,0.03930220099204342,0.09255280182887232,0.42464625830250013,0.6710945660656009,,HCCS
ENSG00000004975,107.70962361190314,-0.026166257398300665,0.09318214943702194,-0.2808076177292453,0.7788579605229142,,DVL2
ENSG00000005007,141.2264393310358,-0.037697796543419204,0.08314341870174023,-0.4534068616862176,0.6502557964087684,,UPF1
ENSG00000005022,954.9636321538517,0.003969581676689524,0.03809878190635723,0.10419182656407061,0.9170171201266366,0.9816961519108226,SLC25A5
ENSG00000005059,62.743972539728354,-0.2880150003691193,0.1454615714277129,-1.9800074861163472,0.04770268750217717,,MCUB
