"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"ENSG00000000003",136.499222535097,0.101634622037356,0.0876941874406548,1.15896646064638,0.246469856459278,0.753046854938685,"TSPAN6"
"ENSG00000000419",213.687951309002,-0.0037759636697777,0.125638918727972,-0.0300540923784392,0.976023913150579,0.996809745831966,"DPM1"
"ENSG00000000457",24.9027847093094,-0.104685484454508,0.209885724296637,-0.498773724631949,0.617938800075234,0.925256092111554,"SCYL3"
"ENSG00000000460",68.4802049004467,0.0533477694814906,0.12353490641715,0.431843687170873,0.665855025233455,0.938505056892636,"FIRRM"
"ENSG00000001036",243.710812278295,0.0782867100723859,0.0707153620172469,1.10706793883474,0.268264555962792,0.765938615103407,"FUCA2"
"ENSG00000001084",49.0557535049386,0.230363309936712,0.147283845881756,1.56407723167179,0.117799432220404,0.607139372386014,"GCLC"
"ENSG00000001167",72.4594989471555,0.126195576497816,0.119370364811227,1.05717676826558,0.2904309203689,0.778970572036682,"NFYA"
"ENSG00000001460",20.1429309346342,-0.208981019257021,0.255682319905259,-0.817346382551825,0.413730507348118,0.845663267299831,"STPG1"
"ENSG00000001461",128.408252050014,0.278309793019492,0.091348947334848,3.04666666819183,0.00231394156415322,0.116261225351628,"NIPAL3"
"ENSG00000001497",192.043493062051,-0.0963039527660759,0.0779626485699182,-1.23525758209342,0.216734654993363,0.725486216043333,"LAS1L"
"ENSG00000001561",33.4458674846539,-0.258858187443626,0.160276858906711,-1.61506900752462,0.106295751677408,0.584696069335727,"ENPP4"
"ENSG00000001617",6.24610911222036,-0.0854904703816294,0.39608375011381,-0.215839378305888,0.829112952248159,0.97519401848821,"SEMA3F"
"ENSG00000001629",28.409197595516,-0.220466772389438,0.191201323016303,-1.15306091459754,0.248885382850707,0.754716052930732,"ANKIB1"
"ENSG00000001631",7.10705909507253,0.575336086980296,0.399044053138035,1.44178589420371,0.149362783408201,0.658549322772747,"KRIT1"
"ENSG00000002016",10.3446151661365,0.426485069830903,0.311395758949382,1.36959177372814,0.170814368945855,0.685934043554448,"RAD52"
"ENSG00000002330",84.0287824019511,0.133774681243771,0.118924739096452,1.12486840215202,0.260644803422842,0.760149314304329,"BAD"
"ENSG00000002549",432.577108585527,-0.137845216352482,0.0548186916424976,-2.51456596686847,0.011917900433599,0.253649280923225,"LAP3"
"ENSG00000002834",251.766046537016,-0.148654336011313,0.0667318945807766,-2.2276354799334,0.0259048326977394,0.354343120027793,"LASP1"
"ENSG00000002919",117.070804136573,0.182947805995482,0.0953969060907825,1.91775408126322,0.0551422007146619,0.469376634970942,"SNX11"
"ENSG00000003056",371.692990721316,-0.0947808360518124,0.0617434347049375,-1.53507553482821,0.124765275028532,0.621054886797496,"M6PR"
"ENSG00000003249",49.3593299729135,-0.0626850566831787,0.162570071384846,-0.385587926173612,0.699801876549494,0.946295959227397,"DBNDD1"
"ENSG00000003393",68.6703189584233,-0.0947630120901606,0.13031713992178,-0.727172282533516,0.467120423422612,0.870788473414154,"ALS2"
"ENSG00000003402",81.6009718223205,-0.0292008345350322,0.113538969054916,-0.257187772428236,0.797033822796981,0.968769113625176,"CFLAR"
"ENSG00000003436",107.26286602102,0.0735908802857179,0.0979199502225638,0.751541234635557,0.452326994525598,0.864374063906298,"TFPI"
"ENSG00000003509",45.991446195379,-0.0735158408566014,0.159200139751668,-0.461782514583698,0.644237291227648,0.930671923819639,"NDUFAF7"
"ENSG00000003756",65.359826551802,0.136889410787066,0.117034840712265,1.1696466620877,0.242143190980983,0.750763468925481,"RBM5"
"ENSG00000003987",6.826749934438,0.375267542727766,0.371127791948284,1.01115451569323,0.311942481528855,0.792125731154264,"MTMR7"
"ENSG00000003989",6.93811474156719,0.517249900765558,0.428200432316072,1.20796211710444,0.227061834308387,0.736177498944077,"SLC7A2"
"ENSG00000004059",91.296988428323,-0.0514998676507142,0.101645353926131,-0.506662288648635,0.612391795141433,0.923145710875267,"ARF5"
"ENSG00000004139",51.7446220363005,-0.320112191720066,0.15023410466487,-2.13075581229806,0.0331092644202732,0.388360075108917,"SARM1"
"ENSG00000004142",438.015468619241,-0.0783426372013965,0.0552385107884889,-1.41826121093985,0.15611451688331,0.666961918053102,"POLDIP2"
"ENSG00000004399",23.229989137168,0.114236142400627,0.203552911351162,0.561211046515327,0.574653673314754,0.91005441479943,"PLXND1"
"ENSG00000004455",412.985589117687,0.0261104948937589,0.0536907392999738,0.486312821059843,0.626745390366242,0.927914734831682,"AK2"
"ENSG00000004478",424.080402578447,-0.0870092221352923,0.0484173441866536,-1.79706722037176,0.0723249488633708,0.522230269111878,"FKBP4"
"ENSG00000004487",271.169347665111,0.0184489940005299,0.0658711084126763,0.280077175640475,0.779418295405627,0.96392754082476,"KDM1A"
"ENSG00000004534",44.2519122611883,0.414875138157962,0.152011205305088,2.72924050122032,0.00634803887251966,0.194040908035455,"RBM6"
"ENSG00000004700",269.339840532288,0.139239200982403,0.0752823393265983,1.84955996622714,0.0643769973679938,0.496093218591501,"RECQL"
"ENSG00000004766",56.3239409545126,-0.0688939045431778,0.144031262397859,-0.47832604808303,0.632418159516259,0.92898668449925,"VPS50"
"ENSG00000004779",187.867143380654,0.0468207403062562,0.0875820368022509,0.534592960106323,0.592931352712268,0.918821571598006,"NDUFAB1"
"ENSG00000004864",65.4720060996038,-0.107665199016714,0.127992828228595,-0.841181498266641,0.400246263840846,0.838231043499317,"SLC25A13"
"ENSG00000004866",86.1347741930905,0.0509500319785556,0.101279576882647,0.503063238875804,0.614919811377399,0.924302284517873,"ST7"
