"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"ENSG00000000003",136.499222535097,0.0473645297691524,0.0865892684867332,0.547002308679965,0.58437714602063,0.906350389467754,"TSPAN6"
"ENSG00000000419",213.687951309002,0.0401851366125739,0.124065538807734,0.323902487336547,0.746011860800905,0.948587431644176,"DPM1"
"ENSG00000000460",68.4802049004467,-0.0823369779331095,0.121042550486265,-0.680231683836278,0.496357773544894,0.880475023334533,"FIRRM"
"ENSG00000001036",243.710812278295,0.123640426067651,0.0695218457358489,1.77843992429989,0.0753316304680738,0.525780478590614,"FUCA2"
"ENSG00000001084",49.0557535049386,0.313212066634751,0.142938081457581,2.19124297346682,0.0284342143439383,0.37681788084947,"GCLC"
"ENSG00000001167",72.4594989471555,0.152164609856485,0.113947887925402,1.3353877164981,0.181749482947341,0.688421205792674,"NFYA"
"ENSG00000001461",128.408252050014,-0.0814896856481622,0.0860543966300468,-0.946955516967848,0.343661446453528,0.81756127042066,"NIPAL3"
"ENSG00000001497",192.043493062051,-0.0789929054444532,0.0755186894660207,-1.04600471754738,0.295558854324355,0.787994245970141,"LAS1L"
"ENSG00000002330",84.0287824019511,-0.127214408312677,0.115509091618415,-1.10133675652935,0.270750119428441,0.768554098905271,"BAD"
"ENSG00000002549",432.577108585527,-0.00176788750618418,0.0542411004690837,-0.0325931349271174,0.973999044458078,0.993018751037322,"LAP3"
"ENSG00000002834",251.766046537016,0.0259233154210776,0.0654713141265091,0.395949214811642,0.692142493532684,0.935458715220287,"LASP1"
"ENSG00000002919",117.070804136573,-0.0400730417972402,0.0921155737309445,-0.435030040786452,0.663540622300257,0.929432394059416,"SNX11"
"ENSG00000003056",371.692990721316,0.0715674460370338,0.0605024007997445,1.18288605230581,0.23685431009484,0.742377105121383,"M6PR"
"ENSG00000003249",49.3593299729135,-0.143598938925761,0.158273687085678,-0.90728245212375,0.364257451327551,0.828041645452674,"DBNDD1"
"ENSG00000003393",68.6703189584233,-0.0218436735213273,0.125643191492738,-0.173854812678726,0.861979565972876,0.973758926316828,"ALS2"
"ENSG00000003402",81.6009718223205,-0.14512102321905,0.109780638809395,-1.32191818878932,0.186195394962868,0.690742111773167,"CFLAR"
"ENSG00000003436",107.26286602102,-0.00097794742783565,0.09539742213872,-0.0102512982626888,0.991820790645913,0.997072606076837,"TFPI"
"ENSG00000003509",45.991446195379,0.0919223076410239,0.159371311157914,0.576780770473439,0.564087561285346,0.9011535422214,"NDUFAF7"
"ENSG00000003756",65.359826551802,-0.00653754440655774,0.113597528892833,-0.0575500582651334,0.954107031423189,0.988025747515229,"RBM5"
"ENSG00000004059",91.296988428323,-0.0455833540604621,0.0993781787623717,-0.458685745987143,0.646459851449954,0.928290291115321,"ARF5"
"ENSG00000004139",51.7446220363005,-0.14979341623244,0.149140538257672,-1.00437760237689,0.315196641592934,0.806816162502964,"SARM1"
"ENSG00000004142",438.015468619241,-0.0861407974979287,0.0541430858761423,-1.59098426149895,0.111613117764995,0.593461841163956,"POLDIP2"
"ENSG00000004455",412.985589117687,-0.0116857981370281,0.0520444967827337,-0.224534751211294,0.822341229570022,0.963868655024799,"AK2"
"ENSG00000004478",424.080402578447,0.0530321178177594,0.0464953506683083,1.14058969457148,0.254040707753402,0.757492731097101,"FKBP4"
"ENSG00000004487",271.169347665111,0.00428056359180622,0.0640484851895807,0.0668331745729184,0.946714512951482,0.986964373118832,"KDM1A"
"ENSG00000004534",44.2519122611883,0.110498219186452,0.148240294638596,0.745399349453824,0.456030337043088,0.863628929020457,"RBM6"
"ENSG00000004700",269.339840532288,0.0277011549579285,0.0731582358596247,0.378647115152985,0.704949929950397,0.937973837221852,"RECQL"
"ENSG00000004766",56.3239409545126,0.0423117328903171,0.13545671857836,0.312363486539359,0.754764296555719,0.95007869232979,"VPS50"
"ENSG00000004779",187.867143380654,-0.17717926267933,0.0851968277686183,-2.07964624176527,0.0375579922765968,0.426028315846142,"NDUFAB1"
"ENSG00000004864",65.4720060996038,0.0711349223691952,0.128340025034973,0.554269195052836,0.579394629125339,0.904682928251567,"SLC25A13"
"ENSG00000004866",86.1347741930905,0.0448883474720971,0.0960870350654898,0.467163415350496,0.64038296611921,0.927789252827603,"ST7"
"ENSG00000004897",241.463177002843,0.0581941851559241,0.081316106840435,0.715653852810704,0.474205112066588,0.87109883603616,"CDC27"
"ENSG00000004961",146.798363934729,0.0390448469648745,0.0886515850578848,0.440430331159678,0.659625460988369,0.929432394059416,"HCCS"
"ENSG00000004975",107.709623611903,-0.0256646491529173,0.0902118882893064,-0.284492982461598,0.776032611149669,0.953670140094039,"DVL2"
"ENSG00000005007",141.226439331036,-0.038035321935385,0.0809218215722519,-0.470025528298628,0.63833677896497,0.926769209941361,"UPF1"
"ENSG00000005022",954.963632153852,0.00409763653328256,0.0390595732976007,0.104907355286809,0.916449322502582,0.980706493361101,"SLC25A5"
"ENSG00000005059",62.7439725397284,-0.2879577213334,0.136652213659159,-2.107230564531,0.0350975987674599,0.413421532926922,"MCUB"
"ENSG00000005075",93.2095616359027,0.0184246665469503,0.0953766083150467,0.193178043048985,0.846819533955241,0.971599731902076,"POLR2J"
"ENSG00000005156",63.5558304002861,-0.0101716467654616,0.12560356378748,-0.0809821509736135,0.935456147336387,0.985708137792872,"LIG3"
"ENSG00000005175",75.1288399986879,-0.329377699755765,0.129736941611397,-2.53881196569559,0.0111229586834261,0.25406153471482,"RPAP3"
