"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"ENSG00000000003",136.499222535097,-0.00855706017346859,0.0891418182024778,-0.0959937809887608,0.92352551180567,0.984447001913216,"TSPAN6"
"ENSG00000000419",213.687951309002,0.0944943879716251,0.125573410315744,0.752503159180173,0.451748530736662,0.841383313625076,"DPM1"
"ENSG00000000457",24.9027847093094,-0.258473806923466,0.214240495575826,-1.20646568814524,0.227637981311315,0.700491332896099,"SCYL3"
"ENSG00000000460",68.4802049004467,-0.0423640381332455,0.125538406378696,-0.337458785365263,0.735771076338346,0.942141067388982,"FIRRM"
"ENSG00000001036",243.710812278295,0.0559586308578876,0.0712570217797933,0.785306899730071,0.432273651392818,0.829724891552984,"FUCA2"
"ENSG00000001084",49.0557535049386,0.273633858946054,0.147798692995154,1.85139566122568,0.0641126528214537,0.459510605867006,"GCLC"
"ENSG00000001167",72.4594989471555,0.245844213800319,0.119064228077097,2.0648033231369,0.0389416133138314,0.380875521822207,"NFYA"
"ENSG00000001460",20.1429309346342,-0.0712901859538326,0.254746561434975,-0.279847490589307,0.779594514525353,0.954433120685771,"STPG1"
"ENSG00000001461",128.408252050014,0.298176841999281,0.0918520202558962,3.24627418284946,0.00116926168585142,0.0709295603344746,"NIPAL3"
"ENSG00000001497",192.043493062051,-0.0287643603148819,0.0780901866963281,-0.368347951666947,0.712613801784875,0.938173213303827,"LAS1L"
"ENSG00000001561",33.4458674846539,-0.0563404453785253,0.158357015518713,-0.355781177069908,0.722004446492231,0.938829810739106,"ENPP4"
"ENSG00000001617",6.24610911222036,0.155045745110089,0.39066186088934,0.396879656378863,0.691456206680974,0.931711083516793,"SEMA3F"
"ENSG00000001629",28.409197595516,0.037769041159549,0.188323299273826,0.200554266546871,0.841047121402317,0.969584088808389,"ANKIB1"
"ENSG00000001631",7.10705909507253,0.961156152715404,0.390181397156098,2.46335719673196,0.0137642713614853,0.253376779141743,"KRIT1"
"ENSG00000002016",10.3446151661365,0.593123101167536,0.309501045051831,1.91638480919574,0.0553161329493305,0.436256804466875,"RAD52"
"ENSG00000002330",84.0287824019511,0.049981173597586,0.120485028232482,0.414833065409128,0.678264112142278,0.929977804883013,"BAD"
"ENSG00000002549",432.577108585527,-0.147186292123534,0.0551891943963406,-2.66694039899401,0.00765452451220144,0.184133839654623,"LAP3"
"ENSG00000002834",251.766046537016,-0.0948187634597691,0.0669151654769014,-1.41699961113449,0.156483041165648,0.628183359308518,"LASP1"
"ENSG00000002919",117.070804136573,0.124545324674422,0.0965628467364471,1.289785138733,0.197125269235962,0.676312023441523,"SNX11"
"ENSG00000003056",371.692990721316,-0.00989607849863937,0.0617435764758519,-0.16027705331436,0.872662833987108,0.975494778528091,"M6PR"
"ENSG00000003249",49.3593299729135,-0.0486616685994117,0.163415412789183,-0.297778941220119,0.765871888293511,0.951615287517605,"DBNDD1"
"ENSG00000003393",68.6703189584233,0.0314420823039894,0.129919084827098,0.242012806246549,0.808770240201157,0.962391717037432,"ALS2"
"ENSG00000003402",81.6009718223205,-0.0275513290560837,0.114412918274695,-0.240806103642383,0.809705398787452,0.962391717037432,"CFLAR"
"ENSG00000003436",107.26286602102,0.0388941797014781,0.0989296439501914,0.393149900762408,0.694208769835179,0.93311705446589,"TFPI"
"ENSG00000003509",45.991446195379,-0.161565379311136,0.161289848607956,-1.00170829537976,0.31648449905776,0.771706344465611,"NDUFAF7"
"ENSG00000003756",65.359826551802,0.0613233046491017,0.118961496864427,0.515488677138855,0.606211579891128,0.905118996848824,"RBM5"
"ENSG00000003987",6.826749934438,0.493911363848673,0.370261024715184,1.33395451014215,0.18221876531198,0.657951361995057,"MTMR7"
"ENSG00000003989",6.93811474156719,0.0952013318173775,0.444735700141698,0.214062715871573,0.830498150280292,0.967309644102553,"SLC7A2"
"ENSG00000004059",91.296988428323,-0.0756072697074112,0.102772948049923,-0.735672870556209,0.461929803712176,0.845994356471869,"ARF5"
"ENSG00000004139",51.7446220363005,-0.332911420498799,0.151470719967141,-2.19785989378685,0.0279590917117007,0.332779445141067,"SARM1"
"ENSG00000004142",438.015468619241,-0.0802578274471504,0.0555805115365768,-1.4439922416751,0.148741157713253,0.615561191900409,"POLDIP2"
"ENSG00000004399",23.229989137168,0.131491667452598,0.204871314472496,0.641825664032876,0.520986384213574,0.871340706788739,"PLXND1"
