"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"ENSG00000000003",136.499222535097,0.266717743234311,0.0915153595985397,2.91445877942621,0.00356305859267834,0.105351668561331,"TSPAN6"
"ENSG00000000419",213.687951309002,0.036836820384724,0.13397059523441,0.274961981920512,0.783345446907524,0.959494953869574,"DPM1"
"ENSG00000000460",68.4802049004467,0.117229719915642,0.12816847285177,0.914653325480604,0.360373654590007,0.801455689651285,"FIRRM"
"ENSG00000001036",243.710812278295,0.0204335131652118,0.0756798507192681,0.269999385186543,0.787160726595521,0.960362973111076,"FUCA2"
"ENSG00000001084",49.0557535049386,0.249111342080092,0.154858396432602,1.60863955599922,0.107695179594366,0.555494185425049,"GCLC"
"ENSG00000001167",72.4594989471555,-0.0581538431399687,0.125632239739141,-0.46288948808616,0.64344358268888,0.918779293180633,"NFYA"
"ENSG00000001461",128.408252050014,-0.292681173265495,0.095174904416984,-3.07519272079527,0.00210366573035788,0.0789486179619775,"NIPAL3"
"ENSG00000001497",192.043493062051,-0.00683578240707825,0.081062120934837,-0.0843277023626522,0.932795887540915,0.9869686705476,"LAS1L"
"ENSG00000002330",84.0287824019511,0.00117470375811164,0.123405837209075,0.00951902912113832,0.992405028329739,0.998757542370093,"BAD"
"ENSG00000002549",432.577108585527,0.0292506266927178,0.0584272715005702,0.500633110899803,0.616629355241738,0.908867386240229,"LAP3"
"ENSG00000002834",251.766046537016,-0.0276832677240538,0.0710613883050017,-0.38956834906229,0.696855760389272,0.937290234051746,"LASP1"
"ENSG00000002919",117.070804136573,-0.0052466678901704,0.0991758318893959,-0.0529026859691145,0.957809444301328,0.994801458327085,"SNX11"
"ENSG00000003056",371.692990721316,0.0573473732209364,0.0653714309351271,0.877254366327799,0.380348492492527,0.804439554075774,"M6PR"
"ENSG00000003249",49.3593299729135,-0.248784481003306,0.172724392987335,-1.44035521966806,0.149766926045972,0.622832885028741,"DBNDD1"
"ENSG00000003393",68.6703189584233,-0.212523163507077,0.138250962691284,-1.53722736804114,0.124237640594661,0.585118506260283,"ALS2"
"ENSG00000003402",81.6009718223205,-0.138374969988592,0.118659360523685,-1.16615300620107,0.243552588809357,0.718132819969748,"CFLAR"
"ENSG00000003436",107.26286602102,-0.16217914242407,0.104832136371355,-1.54703651034611,0.121854441952371,0.580867170754989,"TFPI"
"ENSG00000003509",45.991446195379,0.0592199156622004,0.172488874804708,0.343326001339213,0.731353222022153,0.947146444018803,"NDUFAF7"
"ENSG00000003756",65.359826551802,-0.0843203731091395,0.123953744647471,-0.680256763109093,0.496341896342537,0.864923317905391,"RBM5"
"ENSG00000004059",91.296988428323,-0.111325174829517,0.108258388892856,-1.02832839069586,0.30379538055281,0.756850320906363,"ARF5"
"ENSG00000004139",51.7446220363005,-0.0810901694325619,0.160239066243399,-0.506057426154669,0.61281633658619,0.90767152302146,"SARM1"
"ENSG00000004142",438.015468619241,0.0260230559142786,0.0579757126626,0.448861337259007,0.653531688021857,0.921969609011093,"POLDIP2"
"ENSG00000004455",412.985589117687,-0.0166902514437568,0.0562396341312305,-0.296770270674441,0.766641904039822,0.954626998486666,"AK2"
"ENSG00000004478",424.080402578447,-0.00253488686852999,0.0505069119421892,-0.0501889102115657,0.959971848786896,0.994801458327085,"FKBP4"
"ENSG00000004487",271.169347665111,0.0535020646808586,0.0688599919039821,0.776968791333311,0.437177183241609,0.834492085693646,"KDM1A"
"ENSG00000004534",44.2519122611883,0.0350548223666756,0.161217890892514,0.217437544757654,0.827867374547489,0.968989226449283,"RBM6"
"ENSG00000004700",269.339840532288,0.00868953976070774,0.0790880449873882,0.109871722863973,0.912511108628954,0.983431601270471,"RECQL"
"ENSG00000004766",56.3239409545126,-0.486018747334175,0.154102325316057,-3.15387030232913,0.00161120674127585,0.0675346721749065,"VPS50"
"ENSG00000004779",187.867143380654,-0.0654945485938897,0.0913347719648629,-0.717082302664378,0.473323314854382,0.853913358687825,"NDUFAB1"
"ENSG00000004864",65.4720060996038,0.18595672903475,0.137021454110199,1.35713586052878,0.174738045912321,0.650941909119449,"SLC25A13"
