"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",136.502718618232,0.157566140425123,0.0848605944789687,1.85676451352428,0.0633446644975472,0.448513673970421
"ENSG00000000005",0.0376779307002397,-0.3411278229867,4.99736139460297,-0.0682615876760703,0.945577401368088,NA
"ENSG00000000419",213.693408122105,-0.0580822112743545,0.124128061395881,-0.467921682020903,0.639840597574087,0.908692776420401
"ENSG00000000457",24.9035071437899,0.135441463121987,0.206864789109744,0.654734252769008,0.512638867848,0.864922060274911
"ENSG00000000460",68.4819156679706,0.013352964481337,0.118860931741443,0.112341071920785,0.910552977217883,0.97803704235461
"ENSG00000000938",0.203806947794708,0.0195254686161385,2.93590380636646,0.00665058186640783,0.994693642525377,NA
"ENSG00000000971",0.275517477035,-1.10166366537012,4.99418788079089,-0.220589151162583,0.825412349109937,NA
"ENSG00000001036",243.717246537697,0.145948891618376,0.0688375508154579,2.12019297446594,0.0339897746598567,0.357040037630989
"ENSG00000001084",49.057215437118,0.269936309016182,0.142389235536539,1.89576345430208,0.0579913303882203,0.440990151244402
"ENSG00000001167",72.4613891689607,0.0325209213995318,0.114155020131021,0.284883847965741,0.775733130916403,0.950219885816893
"ENSG00000001460",20.1435557732779,-0.179347616609509,0.249653306509063,-0.718386706418398,0.472518881175495,0.846619348316275
"ENSG00000001461",128.411575073,-0.101369642439705,0.0852765541162091,-1.18871644721439,0.234551266256427,0.694420324344484
"ENSG00000001497",192.04852766297,-0.146527584852358,0.0751882430772355,-1.94880979865217,0.0513181431563451,0.420863701558191
"ENSG00000001561",33.4468459662314,-0.220737250699629,0.1548168517826,-1.42579601741028,0.153927230845389,0.607174144767887
"ENSG00000001617",6.24628042048001,-0.0290896029141104,0.383389243439563,-0.0758748541120613,0.939518662688058,NA
"ENSG00000001626",0.0505462293961362,1.1014816455514,4.99736139460297,0.220412645509484,0.825549797874704,NA
"ENSG00000001629",28.410069687721,-0.210137103070913,0.18523064677942,-1.13446185458259,0.256600865775584,0.713871667851217
