"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",136.502718618232,0.101618060849734,0.0874629253897681,1.16184155054139,0.245299832788312,0.744190894691563
"ENSG00000000005",0.0376779307002397,0,4.9975798104491,0,1,NA
"ENSG00000000419",213.693408122105,-0.00378030131590668,0.125635156299388,-0.0300895181512589,0.975995660251021,0.996687162364343
"ENSG00000000457",24.9035071437899,-0.104704549738227,0.209852212361427,-0.498944226320072,0.617818676175797,0.922739880930932
"ENSG00000000460",68.4819156679706,0.0533196820989035,0.12343602004947,0.431962097267347,0.665768961114661,0.935506003457365
"ENSG00000000938",0.203806947794708,-0.77605996672231,2.93594809290511,-0.264330274979215,0.791525433568997,NA
"ENSG00000000971",0.275517477035,-1.95239732524262,4.98400172094402,-0.391732875419797,0.69525559643324,NA
"ENSG00000001036",243.717246537697,0.0782831948286265,0.0705894199826392,1.10899331440717,0.267433066124171,0.757990232742405
"ENSG00000001084",49.057215437118,0.230350159462527,0.14726786699462,1.56415764119774,0.117780552098426,0.599565570049513
"ENSG00000001167",72.4613891689607,0.12621562659104,0.11926238823507,1.05830202177626,0.289917771512338,0.772503899233902
"ENSG00000001460",20.1435557732779,-0.209020198535931,0.255590673100425,-0.817792746505287,0.413475540556794,0.841724072160034
"ENSG00000001461",128.411575073,0.278226665437981,0.0911223006760373,3.0533323168293,0.00226315163381532,0.110820228364039
"ENSG00000001497",192.04852766297,-0.0963056146925634,0.077770237454016,-1.23833509894459,0.21559183450768,0.715275109281344
"ENSG00000001561",33.4468459662314,-0.258867203845717,0.1603269426758,-1.61462072141659,0.106392855268226,0.57584471564079
"ENSG00000001617",6.24628042048001,-0.0855550161649006,0.395862577402985,-0.216123021090236,0.828891855506738,NA
"ENSG00000001626",0.0505462293961362,0.3059541483573,4.9975798104491,0.0612204626962838,0.951183633422292,NA
"ENSG00000001629",28.410069687721,-0.220474153090642,0.191215373167015,-1.15301478871194,0.24890431449467,0.746964111202645
"ENSG00000001630",4.08802479962357,-0.470617877341842,0.522530300466035,-0.900651841476192,0.367773461647021,NA
"ENSG00000001631",7.10728630937154,0.575319008217091,0.398834388694387,1.44250100925459,0.149161087079554,0.651405381374751
"ENSG00000002016",10.3448974130216,0.426499648184733,0.311179094711958,1.37059222625325,0.170502107644559,0.675966258924862
"ENSG00000002330",84.0309181267095,0.133851329363425,0.118761899740075,1.12705614895329,0.259718741954372,0.752423249435409
"ENSG00000002549",432.587997418233,-0.137837119280388,0.0549601885054728,-2.50794480565987,0.0121435633973842,0.251638334100858
"ENSG00000002745",0.705519390345621,1.3179693840907,1.14475169358759,1.15131464008606,0.249602816378359,NA
"ENSG00000002746",0.307218992506841,-0.776060979618663,2.45142115016894,-0.316575950062755,0.751565386910905,NA
"ENSG00000002822",0.327877532496633,-1.33751488264902,1.89019262790689,-0.707607713045693,0.479188901711047,NA
"ENSG00000002834",251.772828900674,-0.148657901539266,0.0666400410783197,-2.23075945233217,0.0256970671508361,0.347730441272567
"ENSG00000002919",117.073893926321,0.182979483999861,0.0951792348878221,1.92247273489349,0.0545463011244039,0.460852872316011
"ENSG00000003056",371.702739666069,-0.0947904999803881,0.0618283754646706,-1.53312292726424,0.125245569600657,0.612441665980188
"ENSG00000003096",0.869456290301265,0.136777887327827,1.08201628899025,0.126410192452343,0.899407234464472,NA
"ENSG00000003137",0.418910786319114,0.811665993567856,1.64636513298685,0.493004848866862,0.622009161222356,NA
"ENSG00000003147",1.18497494499754,0.484022370074661,0.985194890295538,0.491296062172495,0.623217064590365,NA
"ENSG00000003249",49.3608215465278,-0.0626959582920163,0.162534883446367,-0.385738476335787,0.699690364023394,0.94411726855406
"ENSG00000003393",68.672279937437,-0.0947893141127235,0.130217733747681,-0.727929379391548,0.466656817574758,0.866182329716205
"ENSG00000003400",1.07353280276274,-0.923783128131842,0.95023338640443,-0.97216446122497,0.330968737572547,NA
"ENSG00000003402",81.6031066243969,-0.0291525565973644,0.11340000926466,-0.257077197668708,0.797119179752368,0.968388349057314
"ENSG00000003436",107.265673291601,0.0735254920314845,0.0977198609233555,0.752410936085477,0.451803971960348,0.860626523978659
"ENSG00000003509",45.9926971822775,-0.0735281622019843,0.159176958286234,-0.461927172083318,0.644133547616776,0.927685162461745
"ENSG00000003756",65.3613356981932,0.136902646023379,0.116967232265616,1.17043588509039,0.241825601602246,0.742568051386182
"ENSG00000003987",6.82692900537207,0.375217517455248,0.370878001448117,1.01170065625404,0.311681201654902,NA
"ENSG00000003989",6.93827023348489,0.517325518127972,0.427870334769611,1.20907077702998,0.226635655089163,NA
"ENSG00000004059",91.2993265909675,-0.0514778689805522,0.101491561309536,-0.507213292576625,0.61200516922005,0.919894044765525
"ENSG00000004139",51.7459540250963,-0.320128309159345,0.150189800041539,-2.1314916796667,0.0330486571768868,0.381684786342746
"ENSG00000004142",438.026793311693,-0.0783551602338025,0.0555819742336026,-1.4097225101161,0.158621635319772,0.662789247422562
"ENSG00000004399",23.2307091270349,0.114226908300832,0.203536035789552,0.561212209217526,0.574652880783883,0.906995062035116
"ENSG00000004455",412.996390949367,0.0261101407811584,0.0538220229596173,0.485120018635287,0.627591212571214,0.925392560153081
"ENSG00000004468",0.219594060079019,1.32378409038415,2.62133050811792,0.505004647939116,0.613555571437619,NA
"ENSG00000004478",424.091467873691,-0.0870084276746598,0.0485478808479736,-1.7922188601213,0.0730979146874591,0.515105847376951
"ENSG00000004487",271.176348048658,0.0184232031095855,0.0658037463795688,0.27997194875983,0.779499026237385,0.963180445184338
