"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",136.502718618232,-0.123848084074705,0.0896491347548001,-1.38147550908821,0.167132803016061,0.524398803872606
"ENSG00000000005",0.0376779307002397,-0.0537592702105294,4.99736139460297,-0.0107575310179864,0.991416897634544,NA
"ENSG00000000419",213.693408122105,0.0105978018527505,0.124961787684682,0.0848083406064266,0.932413762587666,0.979847774833621
"ENSG00000000457",24.9035071437899,0.146425832732046,0.211965884808254,0.690799054123754,0.489691830077111,NA
"ENSG00000000460",68.4819156679706,0.00615785362680804,0.12228695194356,0.0503557700060275,0.959838882063381,0.989886236560326
"ENSG00000000938",0.203806947794708,1.02824078306157,2.93590380636646,0.350229725112875,0.726166300318969,NA
"ENSG00000000971",0.275517477035,-0.814295112593949,4.99418788079089,-0.163048554045387,0.870480205544221,NA
"ENSG00000001036",243.717246537697,0.017438330072438,0.0711866889551171,0.244966163315066,0.806482631003901,0.942717042243371
"ENSG00000001084",49.057215437118,0.162327949992551,0.14762291357526,1.09961215411043,0.271501144083764,0.636296861656013
"ENSG00000001167",72.4613891689607,-0.037184065989949,0.118273236129436,-0.314391211459332,0.753223930253204,0.925545916640194
"ENSG00000001460",20.1435557732779,-0.164756153860545,0.255232183750177,-0.645514807105239,0.518593625842704,NA
"ENSG00000001461",128.411575073,-0.116178263919665,0.0878201125633963,-1.32291180833772,0.185864707949446,0.5502813302155
"ENSG00000001497",192.04852766297,0.0687717997404528,0.0756744282777403,0.908785190791883,0.363463525197653,0.717394193730312
"ENSG00000001561",33.4468459662314,-0.263841073139647,0.161519245059362,-1.63349620067058,0.1023646791399,0.437551181655582
"ENSG00000001617",6.24628042048001,-0.280607674916024,0.407812338211042,-0.688080395377371,0.491402155348284,NA
"ENSG00000001626",0.0505462293961362,0,4.99736139460297,0,1,NA
"ENSG00000001629",28.410069687721,-0.127920432069455,0.189242670658969,-0.675959769665155,0.499066187859054,NA
"ENSG00000001630",4.08802479962357,-1.00868043158618,0.532362083006566,-1.89472628457976,0.0581286736108392,NA
"ENSG00000001631",7.10728630937154,0.560631044879506,0.353102658901368,1.58772818823805,0.112347816068756,NA
"ENSG00000002016",10.3448974130216,-0.157947694944847,0.306036602536333,-0.516107202981039,0.605779537439464,NA
"ENSG00000002330",84.0309181267095,-0.0280806215432814,0.116390402971498,-0.241262344887301,0.809351793386071,0.943301604316958
"ENSG00000002549",432.587997418233,0.0434055084537354,0.0550557063989184,0.788392544439102,0.430467130438269,0.76754139215892
"ENSG00000002745",0.705519390345621,1.34435659910988,1.24728403959022,1.0778271479779,0.281110901821086,NA
"ENSG00000002746",0.307218992506841,-2.19018417834097,2.38435794779028,-0.918563498559741,0.358323931524921,NA
"ENSG00000002822",0.327877532496633,1.38850706614268,1.90759902304862,0.727882038817388,0.466685798939232,NA
"ENSG00000002834",251.772828900674,0.00539437621006758,0.0667012478737211,0.0808736925024284,0.935542401758741,0.98043901249626
"ENSG00000002919",117.073893926321,0.0319523168604228,0.0930359431639092,0.343440564730232,0.731267046953377,0.915802211258811
"ENSG00000003056",371.702739666069,0.061885156768705,0.0615168564367312,1.00598698232171,0.314421832099351,0.677687202937312
"ENSG00000003096",0.869456290301265,-0.0196704881474597,1.06833224746818,-0.0184123321130448,0.985309914507359,NA
"ENSG00000003137",0.418910786319114,1.81753083093229,1.68201815530344,1.080565524933,0.279890424870767,NA
"ENSG00000003147",1.18497494499754,-0.842140512714317,1.09704265932148,-0.767646094305194,0.442697469737667,NA
"ENSG00000003249",49.3608215465278,0.0592727242362037,0.158235687807091,0.374585057629127,0.707969087524844,0.909224087320072
"ENSG00000003393",68.672279937437,-0.00551011570330046,0.127579776951228,-0.0431895699692821,0.965550419290738,0.99244068921902
"ENSG00000003400",1.07353280276274,0.0925837175284491,0.856768153175011,0.108061576735027,0.913946846945653,NA
"ENSG00000003402",81.6031066243969,-0.0287348907949585,0.110538512222547,-0.259953659744457,0.794899519143579,0.939871951470443
"ENSG00000003436",107.265673291601,-0.148823291661439,0.0985843628373817,-1.50960342368828,0.13114464723182,0.479136750191076
"ENSG00000003509",45.9926971822775,-0.0204766447208557,0.163747552583319,-0.125050081041282,0.900483902536809,0.972266025687291
"ENSG00000003756",65.3613356981932,0.182708052048446,0.113604364350342,1.60828374062282,0.107773050017965,0.446861222542898
"ENSG00000003987",6.82692900537207,-0.158318732488067,0.402609907939873,-0.393231088867565,0.694148809814822,NA
"ENSG00000003989",6.93827023348489,0.487219184274204,0.394576160495169,1.23479123437861,0.216908210510661,NA
"ENSG00000004059",91.2993265909675,0.102161042020233,0.0997428885128035,1.02424386884604,0.305720102945082,0.669149560937112
