,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,SYMBOL
7571,ENSG00000174977,15.942563699074,-1.17817803163131,0.270371448493056,-4.35762739815173,1.31479968446548e-05,0.0027652041991326,
5661,ENSG00000153989,19.1723963070334,-1.14818858488973,0.23823818476206,-4.8194985452751,1.43919502423616e-06,0.0004677819948471,NUS1
2161,ENSG00000107951,15.2328408311507,-0.904447835875726,0.246635090880547,-3.66714984735801,0.0002452690758222,0.0268444500741813,MTPAP
1687,ENSG00000102362,18.9450667379762,-0.801531902758353,0.230839876884789,-3.47224194352865,0.0005161309558687,0.0401131918846473,SYTL4
8042,ENSG00000182704,28.9591084477469,-0.759735585850818,0.186992749527338,-4.06291467327586,4.84637486330188e-05,0.007758539818474,TSKU
6903,ENSG00000167962,20.3728015524626,-0.721741987809746,0.210130570410487,-3.43473101700449,0.0005931422608321,0.0429867830384188,ZNF598
2780,ENSG00000115827,31.2509728194607,-0.697525942613436,0.198054924449413,-3.52188133949479,0.0004284958943227,0.0348364998847973,DCAF17
120,ENSG00000008394,35.1662352735337,-0.688812474691472,0.187079999782485,-3.68191402337152,0.000231489483107,0.0255974865547027,MGST1
9054,ENSG00000212747,34.5820238729539,-0.681240592468962,0.192516468706026,-3.53860943454776,0.000402240513073,0.0342415217715958,RTL8B
8276,ENSG00000185880,43.8333877479805,-0.643691348355411,0.16591898282548,-3.87955216090295,0.00010464895916,0.0141995531717774,TRIM69
5166,ENSG00000145545,32.2819532546153,-0.618867768779563,0.169613572290524,-3.64869249802446,0.0002635783667071,0.0278095468392834,SRD5A1
8334,ENSG00000186665,36.7262992423716,-0.60259688895572,0.166639280178645,-3.61617553982294,0.0002989876625765,0.0284925302773337,C17orf58
7076,ENSG00000169429,142.929333420518,-0.577978837966346,0.0927254843084522,-6.23322533472776,4.56928164962853e-10,4.45546499762869e-07,CXCL8
1119,ENSG00000088247,37.6609987541117,-0.562001491085565,0.157422922616926,-3.57001052796576,0.0003569668809618,0.0316431964065838,KHSRP
4064,ENSG00000133731,64.2183619865218,-0.531489696736667,0.154190278278549,-3.44697280963794,0.0005669056344618,0.0422620973409748,IMPA1
9263,ENSG00000227500,58.2167920691851,-0.524026225083001,0.144885161928214,-3.61683845404844,0.0002982232953577,0.0284925302773337,SCAMP4
3617,ENSG00000127920,79.0748413920629,-0.524024904827628,0.134529649939368,-3.89523725858056,9.81026537291232e-05,0.0136655722584231,GNG11
223,ENSG00000019144,59.0291621676804,-0.5206124662972,0.12886577340918,-4.0399591957139,5.34605016164213e-05,0.008191676290539,PHLDB1
10424,ENSG00000291206,40.9358335138808,-0.515704691108676,0.15291184824587,-3.3725620154657,0.0007447231332549,0.0489062064150992,GTF2IRD1P1
1276,ENSG00000094975,65.2286268126427,-0.512178803547985,0.132254895614298,-3.87266423045449,0.0001076520887654,0.0142552630135516,SUCO
433,ENSG00000052802,134.619785322605,-0.501526622471476,0.103598918106405,-4.8410411193326,1.29160640312567e-06,0.0004468958154814,MSMO1
6751,ENSG00000166734,84.1670719299774,-0.50038903942646,0.132809044936459,-3.76773313644311,0.0001647366688805,0.0196329501156957,GOLM2
1369,ENSG00000100038,68.306045514403,0.503156460943394,0.138880987457162,3.62293262854711,0.0002912817091777,0.0284925302773337,TOP3B
7857,ENSG00000179431,99.7956313019577,0.505473742886582,0.107838517149944,4.68732097070425,2.76804661921732e-06,0.000824724112159,FJX1
8872,ENSG00000198899,106.806974469504,0.515900978079594,0.111174077387151,4.64047905954757,3.47602400689783e-06,0.0010076711756212,ATP6
9289,ENSG00000228495,186.636000838574,0.517670035936933,0.0892150663730352,5.80249566561322,6.53350834641165e-09,5.00560075168652e-06,LINC01013
3457,ENSG00000125485,43.0602603652428,0.525262401921301,0.149146340738392,3.52179208233229,0.0004286401833888,0.0348364998847973,DDX31
6435,ENSG00000164161,49.013025925299,0.53698378535198,0.149340574751859,3.59569920126676,0.0003235214548682,0.0294205992551656,HHIP
9044,ENSG00000210082,7145.41955677449,0.541474577907421,0.0681292776104235,7.94775164069225,1.89926935177211e-15,6.08175282384307e-12,
1987,ENSG00000105655,44.7473639053295,0.581580200087232,0.143849255435206,4.04298373549241,5.27752828277697e-05,0.008191676290539,ISYNA1
8197,ENSG00000185000,39.1700412998785,0.595732855393563,0.169822778118807,3.50796790626516,0.0004515435198726,0.0363955632926647,DGAT1
8818,ENSG00000198727,456.733904320895,0.603808018624188,0.0561405304570802,10.7552959280604,5.5954129424309e-27,6.00163992205138e-23,CYTB
1138,ENSG00000088876,36.8801744781983,0.607232858080872,0.164896588191732,3.68250710787792,0.000230951426549,0.0255974865547027,ZNF343
8866,ENSG00000198888,117.057151239606,0.617035487718346,0.114762350547771,5.37663689156922,7.5890004515936e-08,4.28419046546279e-05,ND1
899,ENSG00000078401,64.9398368996372,0.617944901011528,0.124194410544688,4.97562570087786,6.50372130913169e-07,0.0002583663509694,EDN1
8813,ENSG00000198712,407.921811219064,0.621927830988932,0.0790470119451257,7.86782214387399,3.608681119491151e-15,7.7413427375324e-12,COX2
5803,ENSG00000156466,29.1309370478741,0.662264930920965,0.187622518192917,3.52977317061703,0.0004159160878899,0.0348364998847973,GDF6
8837,ENSG00000198804,1317.58210630896,0.68415663495071,0.08724826850644,7.84149240623853,4.452228568662831e-15,7.959100604579579e-12,COX1
8884,ENSG00000198938,244.459705246476,0.691541901555643,0.0872527356753655,7.92573317275242,2.26804132904832e-15,6.08175282384307e-12,COX3
