,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,SYMBOL
10259,ENSG00000221978,102.566648420542,0.500295949173855,0.106945754461599,4.67803468863739,2.89637556230085e-06,0.0010696996451709,CCNL2
991,ENSG00000078401,64.9398368996372,0.510180719234725,0.123164430482091,4.1422731972029,3.43880368792523e-05,0.0068541361760757,EDN1
7958,ENSG00000170989,63.1068207214418,0.514019013816998,0.131639014654768,3.90476193676357,9.43181856543117e-05,0.0139950096254441,S1PR1
9908,ENSG00000198938,244.459705246476,0.517116393312871,0.0871159188854399,5.93595751418171,2.92135450641012e-09,4.58543106712398e-06,COX3
10106,ENSG00000211459,115.487587909965,0.519821735249326,0.105251860387807,4.93883655200023,7.85900488540103e-07,0.0003819643901611,
4172,ENSG00000130956,43.9376282687818,0.542979152431749,0.15381618944364,3.53005203415667,0.0004154779450261,0.0364836122775781,HABP4
9860,ENSG00000198804,1317.58210630896,0.552234500637441,0.0871867789552365,6.33392479060352,2.3900204962750603e-10,4.28735533881798e-07,COX1
8800,ENSG00000181192,58.9551034563704,0.554262063900341,0.135067909351059,4.10358068443736,4.06804488921027e-05,0.0072974913819733,DHTKD1
5894,ENSG00000148985,49.3086844796415,0.556849437179919,0.13502889898297,4.1239278508088,3.72465608753135e-05,0.0069806726106165,PGAP2
1385,ENSG00000092969,77.844252500916,0.562735140743209,0.11086030343412,5.07607433239276,3.8531260640633e-07,0.0002303985904116,TGFB2
7074,ENSG00000164161,49.013025925299,0.564553493434864,0.146460594207656,3.85464429179104,0.0001158980132968,0.0154614379614375,HHIP
9889,ENSG00000198888,117.057151239606,0.574437436003161,0.113689473198983,5.05268799159412,4.35635225599575e-07,0.0002410807469042,ND1
4460,ENSG00000134077,56.0235564754744,0.599098253992806,0.133340607860642,4.49299177201096,7.02294991203579e-06,0.0019597151565651,THUMPD3
2620,ENSG00000111358,38.1155023878164,0.617838898391582,0.164338187997799,3.75955768965797,0.0001702140251924,0.0197905325402008,GTF2H3
6090,ENSG00000152193,38.2444637384452,0.626026417461654,0.178192416190327,3.51320460682791,0.0004427363991287,0.0379311524354861,OBI1
1724,ENSG00000101247,31.2805317048833,0.644843171861052,0.169644595745378,3.80114184615057,0.0001440308154056,0.0179068806836488,NDUFAF5
5410,ENSG00000143224,36.0641763141487,0.668228458329427,0.173047854313738,3.86152409100619,0.0001126818987683,0.0152144796003615,PPOX
9476,ENSG00000196352,39.665682631722,0.695217472525077,0.181634526836371,3.82756232878222,0.0001294186181855,0.016415248369257,CD55
11721,ENSG00000275910,18.8570325913112,0.768708893760023,0.213714245200468,3.59690058582178,0.0003220314895112,0.0308683161358206,
9848,ENSG00000198752,22.2718740235222,0.775633310430103,0.208580251176015,3.71863254578003,0.0002003041805871,0.0214653434979447,CDC42BPB
12350,ENSG00000302734,51.5238613069057,0.84646305807942,0.144871884773005,5.84283872199023,5.131869653355651e-09,7.16009858190966e-06,
5724,ENSG00000146674,14.7131331459158,0.9194090526587,0.258220538971698,3.56055740693605,0.0003700683924164,0.034421842989429,IGFBP3
3957,ENSG00000128311,17.8627621647203,0.959921684086356,0.240343431514089,3.99395847034032,6.49792498132992e-05,0.0107361110513894,TST
10151,ENSG00000213676,15.9693221255292,0.985455569659744,0.242377768170746,4.06578366117114,4.78713280843108e-05,0.0083488925938151,ATF6B
12112,ENSG00000293510,17.6798671638683,0.987582438276582,0.279480439279815,3.53363706176166,0.0004098835047905,0.0364836122775781,AFG3L1P
6851,ENSG00000162817,14.983932005893,0.998079096704215,0.246162723882191,4.05455009988384,5.02308844888972e-05,0.0086404002263983,C1orf115
11125,ENSG00000257202,12.5338010104997,1.08866127216433,0.315203745799269,3.45383354948332,0.0005526783786475,0.0444870666710099,
10706,ENSG00000239264,6.76880216570687,1.23579320890758,0.35183525183757,3.51242009563643,0.0004440455051378,0.0379311524354861,TXNDC5
1698,ENSG00000101104,8.7384342298028,1.36935369060081,0.382864659599798,3.57659986699262,0.0003480923698842,0.0328646307416247,PABPC1L
7732,ENSG00000168952,6.31758526069977,1.37444883225774,0.397455159570243,3.45812300875372,0.0005439529633613,0.0440672087801803,STXBP6
