,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,SYMBOL
3838,ENSG00000126351,9.61872072663489,-1.57923483253083,0.329354448214136,-4.79494004436235,1.62723491476898e-06,0.0009672463265002,THRA
7460,ENSG00000166925,9.86353721138076,-1.31933163729328,0.293643239094554,-4.49297467689508,7.02351391690207e-06,0.0025939489486629,TSC22D4
4068,ENSG00000130052,11.2093372625387,-1.1879109975674,0.281112023653188,-4.22575662943875,2.38139256285636e-05,0.006102682941181,STARD8
10091,ENSG00000206417,11.633073854597,-0.998776679778178,0.256546588963789,-3.89315907029718,9.89472245372133e-05,0.0172566708126915,
11461,ENSG00000267278,12.6900536499175,-0.922900115957285,0.25855956426033,-3.56939074598713,0.0003578123998978,0.0393706461158947,
3705,ENSG00000124782,13.8606090813759,-0.917245098910593,0.254008189583544,-3.61108474657629,0.0003049189969231,0.0367579537035066,RREB1
10133,ENSG00000213442,14.2317399314457,-0.906230652922921,0.252239671089476,-3.59273642012266,0.0003272235386785,0.0378666103337337,RPL18AP3
1575,ENSG00000100364,24.5679897153564,-0.905096118106497,0.231626674146694,-3.90756427963595,9.32312425277574e-05,0.0167243530345864,KIAA0930
6782,ENSG00000162302,26.7911679598164,-0.866059310393801,0.176510097374224,-4.90657091734329,9.26824869486023e-07,0.0006125336782176,RPS6KA4
10304,ENSG00000224407,18.9292073409086,-0.83644822580356,0.213241450787628,-3.92254049442102,8.76201610253697e-05,0.0159455994492111,
7592,ENSG00000167962,20.3728015524626,-0.777836862614352,0.204034552607839,-3.81228009017365,0.0001376907184622,0.0210851506308606,ZNF598
3756,ENSG00000125534,20.1090559378402,-0.767532303653484,0.217864058325975,-3.52298726807466,0.0004267118584869,0.043211458121133,PPDPF
5282,ENSG00000141526,32.493854136057,-0.75754760130214,0.177317628278791,-4.27226333137657,1.93498877255986e-05,0.0052820986993552,SLC16A3
9529,ENSG00000196642,24.2810629900609,-0.747041254363584,0.213128067771844,-3.50512845245376,0.000456387028435,0.0444252086516209,RABL6
1474,ENSG00000099875,32.5248353448627,-0.743786190188725,0.170914097070501,-4.35181300394383,1.3501639550383e-05,0.0042385021958539,MKNK2
3898,ENSG00000127418,33.6975539413474,-0.74017605664598,0.171623938316778,-4.3127786479284,1.61215503873656e-05,0.0047078676328872,FGFRL1
2059,ENSG00000104853,30.99868182392,-0.730724312946396,0.1790526109383,-4.08105924352144,4.48309253431562e-05,0.0100525344559645,CLPTM1
8209,ENSG00000173327,39.5860901720328,-0.690296096746154,0.148344167633117,-4.65334166998319,3.26598402900053e-06,0.0015189244982281,MAP3K11
4656,ENSG00000135801,26.6954572918586,-0.684373346253857,0.186028150324093,-3.67886981116331,0.0002342698102256,0.0303270722371435,TAF5L
9125,ENSG00000185339,25.285794421608,-0.673301156811124,0.186561067248642,-3.60901214139052,0.0003073652256803,0.0367579537035066,TCN2
2565,ENSG00000110651,64.167947913463,-0.673054839375676,0.124520008337892,-5.40519430057619,6.47381761147223e-08,0.0001161310396389,CD81
5198,ENSG00000140577,34.8093121532295,-0.618392603975891,0.172570926770683,-3.58341127064601,0.0003391359995527,0.0383651418593145,CRTC3
