,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,SYMBOL
5995,ENSG00000178295,29.4758130813017,-0.789802457572112,0.198831167281848,-3.97222663010648,7.12039281102133e-05,0.0111543133096734,GEN1
4356,ENSG00000152219,66.5318835038023,-0.55752490592641,0.13094085949394,-4.2578375312422,2.06413868671951e-05,0.0049513526747684,ARL14EP
5143,ENSG00000166037,65.2450361592017,-0.509827662751196,0.127424967689436,-4.00100288032847,6.30745899994716e-05,0.0100866781840822,CEP57
1281,ENSG00000101452,72.8938166927916,0.543198486245649,0.125925308182443,4.31365619894814,1.60576594634166e-05,0.0040217493512416,DHX35
2749,ENSG00000125741,39.2467132235608,0.581305007593523,0.170445503372443,3.41050362779771,0.0006484302148156,0.0440473480435819,OPA3
6684,ENSG00000198804,1317.58210630896,0.58157860689268,0.0867777912911606,6.70192912540654,2.05685801241861e-11,3.15768842066505e-08,COX1
2839,ENSG00000127418,33.6975539413474,0.592921996485597,0.166673204325511,3.55739243680482,0.0003745543912077,0.0326713580330735,FGFRL1
2425,ENSG00000119681,31.6230548712949,0.598945982710112,0.17858898786457,3.35376772034966,0.0007971925299631,0.0485654750793436,LTBP2
4201,ENSG00000148343,39.9358763792409,0.607487484336553,0.149275209666675,4.06958051302052,4.70978618428559e-05,0.0080338486112391,MIGA2
6844,ENSG00000212907,62.6921362128089,0.620524235970337,0.13627152184272,4.55358704136676,5.27388357521847e-06,0.001686763763474,ND4L
5703,ENSG00000173011,40.9210388077179,0.710467394956766,0.187159594162357,3.79605116230616,0.0001470191698962,0.0173618330480598,TADA2B
